0.025,1117.4351284742618,2171.5341280009884,3393.831160342682,--undefined--,--undefined--
0.030000000000000002,1152.931679243623,2088.5509314758065,3325.2444860068927,4608.837959816009,--undefined--
0.035,1152.441257883934,2033.689064904387,3257.450622005541,4613.889371176523,--undefined--
0.04,1077.5637615062767,1913.9305804020305,3127.6351491644505,4745.466149825346,--undefined--
0.045,902.9359691211816,1622.4378911121025,2854.2751107748463,4912.8056411831285,--undefined--
0.049999999999999996,607.4673301753576,1249.4500077972793,2417.1823555306605,3620.924277854953,5104.6866611334335
0.05499999999999999,575.3853558449374,1229.3440533868095,2355.6987793527087,3444.6863103755873,5144.457329343746
0.05999999999999999,580.4397940705041,1263.3378767360625,2346.155149446663,3460.5408248240888,5174.170808177037
0.06499999999999999,582.653262983695,1287.050511142559,2334.1266627739333,3515.1694675561325,5182.2410902008005
0.06999999999999999,585.8802424540925,1296.1426522808008,2329.296791465268,3620.770677588949,5174.431567182163
0.075,589.2808012948894,1308.4195554324447,2339.3860741828926,3694.784333117525,5197.556574701112
0.08,596.8518871040825,1311.835964056714,2350.3876251597517,3801.027727983851,5184.700621664161
0.085,600.8757115079791,1319.6532705085576,2358.7497115489523,3942.3916573562856,5180.570433566133
0.09000000000000001,601.5374635855653,1334.2989653132445,2360.7479832572335,4100.381531627037,5181.996826115318
0.09500000000000001,600.8519561712055,1352.4788147521067,2354.48557208651,4252.6254709954865,5174.214068615575
0.10000000000000002,598.9657738983985,1354.7948009722172,2347.1112234181533,4393.089816037198,5144.9750365833
0.10500000000000002,596.7335122640745,1340.1223883274533,2342.2353388448323,4245.0821730121015,5152.805623239172
0.11000000000000003,593.6043526734669,1321.2082540417002,2340.2841702943833,4141.238618884728,5147.586550689118
0.11500000000000003,591.1048704364725,1303.1417075360832,2334.184675243068,4119.586472941336,5140.4759268642665
0.12000000000000004,590.6356760693333,1288.8080762616037,2318.705846650991,4137.180674331682,5152.129161612452
0.12500000000000003,589.92083826234,1278.815722922743,2309.620400840325,4122.281776558028,5169.275253679444
0.13000000000000003,587.5235135198112,1293.252920540613,2323.610216613356,4249.344296825941,5202.199809022928
0.13500000000000004,582.0367220470091,1300.5943365745193,2325.3934217833785,4332.623219763723,5208.585174779612
